college_code,cast,cutoff,year,tier
1128,OC,173.5,2020,2
1128,OC,173.5,2021,2
1128,OC,173.5,2022,2
1128,OC,173.5,2023,2
1128,OC,173.5,2024,2
1128,SC,144.0,2020,2
1128,SC,144.0,2021,2
1128,SC,144.0,2022,2
1128,SC,144.0,2023,2
1128,SC,139.0,2024,2
1128,SCA,128.5,2020,2
1128,SCA,128.5,2021,2
1128,SCA,139.0,2022,2
1128,SCA,128.5,2023,2
1128,ST,120.0,2020,2
1128,ST,120.0,2021,2
1128,ST,139.0,2022,2
1128,ST,120.0,2023,2
1128,ST,144.0,2024,2
1140,BC,155.5,2020,2
1140,BC,155.5,2021,2
1140,BC,166.0,2022,2
1140,BC,155.5,2023,2
1140,BC,155.5,2024,2
1140,BCM,158.0,2020,2
1140,BCM,158.0,2021,2
1140,BCM,158.0,2022,2
1140,BCM,158.0,2023,2
1140,BCM,158.0,2024,2
1140,MBC,156.5,2020,2
1140,MBC,156.5,2021,2
1140,MBC,156.5,2022,2
1140,MBC,156.5,2023,2
1140,MBC,156.5,2024,2
1140,MBCDNC,146.0,2022,2
1140,OC,171.5,2020,2
1140,OC,171.5,2021,2
1140,OC,171.5,2022,2
1140,OC,171.5,2023,2
1140,OC,171.5,2024,2
1140,SC,117.5,2020,2
1140,SC,117.5,2021,2
1140,SC,117.5,2022,2
1140,SC,117.5,2023,2
1140,SC,115.5,2024,2
1140,SCA,115.5,2022,2
1140,ST,115.5,2022,2
1140,ST,117.5,2024,2
1149,BC,169.0,2020,2
1149,BC,169.0,2021,2
1149,BC,176.0,2022,2
1149,BC,169.0,2023,2
1149,BC,169.0,2024,2
1149,BCM,168.0,2020,2
1149,BCM,168.0,2021,2
1149,BCM,169.0,2022,2
1149,BCM,168.0,2023,2
1149,BCM,168.0,2024,2
1149,MBC,164.0,2020,2
1149,MBC,164.0,2021,2
1149,MBC,168.0,2022,2
1149,MBC,164.0,2023,2
1149,MBC,164.0,2024,2
1149,MBCDNC,164.0,2022,2
1149,OC,176.0,2020,2
1149,OC,176.0,2021,2
1149,OC,176.0,2022,2
1149,OC,176.0,2023,2
1149,OC,176.0,2024,2
1149,SC,138.0,2020,2
1149,SC,138.0,2021,2
1149,SC,138.0,2022,2
1149,SC,138.0,2023,2
1149,SC,135.0,2024,2
1149,SCA,135.0,2022,2
1149,ST,116.5,2020,2
1149,ST,116.5,2021,2
1149,ST,135.0,2022,2
1149,ST,116.5,2023,2
1149,ST,138.0,2024,2
1210,BC,165.0,2020,2
1210,BC,165.0,2021,2
1210,BC,172.5,2022,2
1210,BC,165.0,2023,2
1210,BC,165.0,2024,2
1210,BCM,158.5,2020,2
1210,BCM,158.5,2021,2
1210,BCM,165.0,2022,2
1210,BCM,158.5,2023,2
1210,BCM,158.5,2024,2
1210,MBC,161.5,2020,2
1210,MBC,161.5,2021,2
1210,MBC,161.5,2022,2
1210,MBC,161.5,2023,2
1210,MBC,161.5,2024,2
1210,MBCDNC,161.5,2022,2
1210,OC,172.5,2020,2
1210,OC,172.5,2021,2
1210,OC,172.5,2022,2
1210,OC,172.5,2023,2
1210,OC,172.5,2024,2
1210,SC,133.5,2020,2
1210,SC,133.5,2021,2
1210,SC,133.5,2022,2
1210,SC,133.5,2023,2
1210,SC,133.5,2024,2
1210,SCA,128.5,2020,2
1210,SCA,128.5,2021,2
1210,SCA,133.5,2022,2
1210,SCA,128.5,2023,2
1210,ST,118.5,2020,2
1210,ST,118.5,2021,2
1210,ST,133.5,2022,2
1210,ST,118.5,2023,2
1210,ST,133.5,2024,2
1211,BC,188.0,2020,2
1211,BC,188.0,2021,2
1211,BC,191.5,2022,2
1211,BC,188.0,2023,2
1211,BC,188.0,2024,2
1211,BCM,188.5,2020,2
1211,BCM,188.5,2021,2
1211,BCM,188.5,2022,2
1211,BCM,188.5,2023,2
1211,BCM,188.5,2024,2
1211,MBC,185.5,2020,2
1211,MBC,185.5,2021,2
1211,MBC,188.5,2022,2
1211,MBC,185.5,2023,2
